parroquia,nom_par
080154,CHINCA
091250,NARANJITO
091250,NARANJITO
091250,NARANJITO
091250,NARANJITO
091250,NARANJITO
091250,NARANJITO
050150,LATACUNGA
091250,NARANJITO
091250,NARANJITO
091250,NARANJITO
090150,GUAYAQUIL
200350,PUERTO AYORA
050150,LATACUNGA
050150,LATACUNGA
050150,LATACUNGA
050150,LATACUNGA
060151,CACHA
050150,LATACUNGA
050150,LATACUNGA
090150,GUAYAQUIL
050150,LATACUNGA
090150,GUAYAQUIL
050150,LATACUNGA
090150,GUAYAQUIL
230250,LA CONCORDIA
050150,LATACUNGA
090150,GUAYAQUIL
050150,LATACUNGA
050150,LATACUNGA
090150,GUAYAQUIL
050150,LATACUNGA
090150,GUAYAQUIL
050150,LATACUNGA
050150,LATACUNGA
090150,GUAYAQUIL
090150,GUAYAQUIL
050156,MULALÓ
050156,MULALÓ
090150,GUAYAQUIL
050150,LATACUNGA
050150,LATACUNGA
050150,LATACUNGA
050150,LATACUNGA
230250,LA CONCORDIA
230250,LA CONCORDIA
230250,LA CONCORDIA
230250,LA CONCORDIA
230250,LA CONCORDIA
230250,LA CONCORDIA
090150,GUAYAQUIL
230250,LA CONCORDIA
230250,LA CONCORDIA
230250,LA CONCORDIA
050150,LATACUNGA
170184,TUMBACO
170184,TUMBACO
170184,TUMBACO
170184,TUMBACO
050150,LATACUNGA
050150,LATACUNGA
050150,LATACUNGA
050150,LATACUNGA
091150,NARANJAL
050150,LATACUNGA
050150,LATACUNGA
050150,LATACUNGA
050150,LATACUNGA
050150,LATACUNGA
210251,EL REVENTADOR
170177,POMASQUI
170177,POMASQUI
170177,POMASQUI
080357,SAN GREGORIO
170177,POMASQUI
170177,POMASQUI
170177,POMASQUI
170177,POMASQUI
170177,POMASQUI
170177,POMASQUI
170177,POMASQUI
092550,NARCISA DE JESÚS
170177,POMASQUI
092550,NARCISA DE JESÚS
170177,POMASQUI
092550,NARCISA DE JESÚS
092150,GENERAL VILLAMIL
092550,NARCISA DE JESÚS
092550,NARCISA DE JESÚS
092550,NARCISA DE JESÚS
092550,NARCISA DE JESÚS
092550,NARCISA DE JESÚS
092150,GENERAL VILLAMIL
130450,EL CARMEN
130450,EL CARMEN
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
130450,EL CARMEN
130450,EL CARMEN
130450,EL CARMEN
130450,EL CARMEN
090150,GUAYAQUIL
130450,EL CARMEN
130450,EL CARMEN
130450,EL CARMEN
130450,EL CARMEN
130450,EL CARMEN
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
130350,CHONE
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
071252,JAMBELÍ
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
130350,CHONE
090150,GUAYAQUIL
130350,CHONE
090150,GUAYAQUIL
091153,SANTA ROSA DE FLANDES
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
100451,DR. MIGUEL EGAS CABEZAS
100451,DR. MIGUEL EGAS CABEZAS
100451,DR. MIGUEL EGAS CABEZAS
071252,JAMBELÍ
071252,JAMBELÍ
110553,SANTA RUFINA
071252,JAMBELÍ
180757,GUAMBALÓ
180757,GUAMBALÓ
110350,CATAMAYO
071252,JAMBELÍ
180757,GUAMBALÓ
180757,GUAMBALÓ
180757,GUAMBALÓ
180757,GUAMBALÓ
040254,SAN VICENTE DE PUSIR
180757,GUAMBALÓ
040254,SAN VICENTE DE PUSIR
071252,JAMBELÍ
071358,SINSAO
071358,SINSAO
200150,PUERTO BAQUERIZO MORENO
200150,PUERTO BAQUERIZO MORENO
200150,PUERTO BAQUERIZO MORENO
200150,PUERTO BAQUERIZO MORENO
200150,PUERTO BAQUERIZO MORENO
200150,PUERTO BAQUERIZO MORENO
200150,PUERTO BAQUERIZO MORENO
200150,PUERTO BAQUERIZO MORENO
060156,LICTO
092150,GENERAL VILLAMIL
060156,LICTO
092150,GENERAL VILLAMIL
060156,LICTO
090150,GUAYAQUIL
090150,GUAYAQUIL
092150,GENERAL VILLAMIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
091952,LA VICTORIA
091952,LA VICTORIA
092150,GENERAL VILLAMIL
092150,GENERAL VILLAMIL
092150,GENERAL VILLAMIL
092150,GENERAL VILLAMIL
150454,SANTA ROSA
092150,GENERAL VILLAMIL
150454,SANTA ROSA
091952,LA VICTORIA
092150,GENERAL VILLAMIL
092150,GENERAL VILLAMIL
092150,GENERAL VILLAMIL
092150,GENERAL VILLAMIL
140160,ZUÑA
170150,QUITO
170150,QUITO
170150,QUITO
170150,QUITO
170150,QUITO
170150,QUITO
070953,LA PEAÑA
170150,QUITO
090150,GUAYAQUIL
170150,QUITO
170150,QUITO
170150,QUITO
170150,QUITO
090150,GUAYAQUIL
090150,GUAYAQUIL
070953,LA PEAÑA
070953,LA PEAÑA
070953,LA PEAÑA
070953,LA PEAÑA
070953,LA PEAÑA
070953,LA PEAÑA
090150,GUAYAQUIL
070953,LA PEAÑA
090150,GUAYAQUIL
070953,LA PEAÑA
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
070953,LA PEAÑA
131952,SALANGO
131952,SALANGO
050250,LA MANÁ
131952,SALANGO
110750,GONZANAMÁ
090150,GUAYAQUIL
090150,GUAYAQUIL
110750,GONZANAMÁ
110750,GONZANAMÁ
090150,GUAYAQUIL
110750,GONZANAMÁ
090150,GUAYAQUIL
050250,LA MANÁ
110750,GONZANAMÁ
090150,GUAYAQUIL
050250,LA MANÁ
090150,GUAYAQUIL
132050,JAMA
170171,NONO
132050,JAMA
170171,NONO
170171,NONO
170171,NONO
170171,NONO
130251,MEMBRILLO
130251,MEMBRILLO
020250,CHILLANES
020250,CHILLANES
130251,MEMBRILLO
011351,AMALUZA
011351,AMALUZA
011351,AMALUZA
011351,AMALUZA
011351,AMALUZA
011351,AMALUZA
090150,GUAYAQUIL
130251,MEMBRILLO
130251,MEMBRILLO
130251,MEMBRILLO
130251,MEMBRILLO
110150,LOJA
110150,LOJA
130251,MEMBRILLO
090150,GUAYAQUIL
110150,LOJA
130251,MEMBRILLO
090150,GUAYAQUIL
110150,LOJA
130251,MEMBRILLO
130251,MEMBRILLO
130251,MEMBRILLO
110150,LOJA
070650,EL GUABO
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
110150,LOJA
090150,GUAYAQUIL
090150,GUAYAQUIL
110150,LOJA
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
111153,LLUZHAPA
070650,EL GUABO
090150,GUAYAQUIL
070650,EL GUABO
090150,GUAYAQUIL
070650,EL GUABO
090150,GUAYAQUIL
070650,EL GUABO
090150,GUAYAQUIL
090150,GUAYAQUIL
120155,LA UNIÓN
070650,EL GUABO
090150,GUAYAQUIL
120155,LA UNIÓN
120155,LA UNIÓN
120155,LA UNIÓN
090150,GUAYAQUIL
120155,LA UNIÓN
070650,EL GUABO
090150,GUAYAQUIL
120155,LA UNIÓN
070650,EL GUABO
070650,EL GUABO
070650,EL GUABO
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
010159,OCTAVIO CORDERO PALACIOS
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
210254,PUERTO LIBRE
090150,GUAYAQUIL
010159,OCTAVIO CORDERO PALACIOS
010159,OCTAVIO CORDERO PALACIOS
180150,AMBATO
010159,OCTAVIO CORDERO PALACIOS
180150,AMBATO
010159,OCTAVIO CORDERO PALACIOS
180150,AMBATO
010159,OCTAVIO CORDERO PALACIOS
180150,AMBATO
180150,AMBATO
010159,OCTAVIO CORDERO PALACIOS
170353,CUTUGLAHUA
010159,OCTAVIO CORDERO PALACIOS
180150,AMBATO
110150,LOJA
180150,AMBATO
110150,LOJA
170353,CUTUGLAHUA
110150,LOJA
110150,LOJA
010159,OCTAVIO CORDERO PALACIOS
110150,LOJA
010159,OCTAVIO CORDERO PALACIOS
180150,AMBATO
110150,LOJA
180150,AMBATO
010159,OCTAVIO CORDERO PALACIOS
110150,LOJA
110150,LOJA
010159,OCTAVIO CORDERO PALACIOS
091250,NARANJITO
010159,OCTAVIO CORDERO PALACIOS
010159,OCTAVIO CORDERO PALACIOS
010159,OCTAVIO CORDERO PALACIOS
010159,OCTAVIO CORDERO PALACIOS
010159,OCTAVIO CORDERO PALACIOS
010159,OCTAVIO CORDERO PALACIOS
010159,OCTAVIO CORDERO PALACIOS
180150,AMBATO
010159,OCTAVIO CORDERO PALACIOS
140150,MACAS
110150,LOJA
110150,LOJA
110150,LOJA
110150,LOJA
180150,AMBATO
180150,AMBATO
180150,AMBATO
180150,AMBATO
180150,AMBATO
180150,AMBATO
110150,LOJA
140150,MACAS
110150,LOJA
180150,AMBATO
140150,MACAS
170165,LLANO CHICO
110150,LOJA
180150,AMBATO
140150,MACAS
170165,LLANO CHICO
110150,LOJA
140150,MACAS
110150,LOJA
180150,AMBATO
170165,LLANO CHICO
110150,LOJA
110150,LOJA
140150,MACAS
110150,LOJA
110150,LOJA
110150,LOJA
110150,LOJA
140150,MACAS
110150,LOJA
110150,LOJA
140150,MACAS
140150,MACAS
140150,MACAS
110150,LOJA
110150,LOJA
110150,LOJA
110150,LOJA
110150,LOJA
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
140751,CHIGUAZA
090150,GUAYAQUIL
090150,GUAYAQUIL
120550,QUEVEDO
120550,QUEVEDO
120550,QUEVEDO
130551,SAN FRANCISCO DE NOVILLO
130551,SAN FRANCISCO DE NOVILLO
170150,QUITO
170150,QUITO
120550,QUEVEDO
120550,QUEVEDO
120550,QUEVEDO
120550,QUEVEDO
170150,QUITO
100250,ATUNTAQUI
100250,ATUNTAQUI
100250,ATUNTAQUI
130551,SAN FRANCISCO DE NOVILLO
100250,ATUNTAQUI
130551,SAN FRANCISCO DE NOVILLO
130551,SAN FRANCISCO DE NOVILLO
120550,QUEVEDO
130551,SAN FRANCISCO DE NOVILLO
120550,QUEVEDO
130551,SAN FRANCISCO DE NOVILLO
120550,QUEVEDO
120550,QUEVEDO
130850,MANTA
120550,QUEVEDO
170150,QUITO
100250,ATUNTAQUI
170150,QUITO
100250,ATUNTAQUI
110150,LOJA
100250,ATUNTAQUI
130551,SAN FRANCISCO DE NOVILLO
110150,LOJA
100250,ATUNTAQUI
130551,SAN FRANCISCO DE NOVILLO
110150,LOJA
130551,SAN FRANCISCO DE NOVILLO
110150,LOJA
130551,SAN FRANCISCO DE NOVILLO
170150,QUITO
170150,QUITO
170150,QUITO
170150,QUITO
240352,JOSÉ LUIS TAMAYO
170150,QUITO
170150,QUITO
130850,MANTA
170150,QUITO
110150,LOJA
110150,LOJA
110150,LOJA
130850,MANTA
130850,MANTA
130850,MANTA
130850,MANTA
130850,MANTA
240352,JOSÉ LUIS TAMAYO
130850,MANTA
240352,JOSÉ LUIS TAMAYO
130850,MANTA
130850,MANTA
240352,JOSÉ LUIS TAMAYO
240352,JOSÉ LUIS TAMAYO
240352,JOSÉ LUIS TAMAYO
240352,JOSÉ LUIS TAMAYO
240352,JOSÉ LUIS TAMAYO
240352,JOSÉ LUIS TAMAYO
240352,JOSÉ LUIS TAMAYO
070750,HUAQUILLAS
070750,HUAQUILLAS
070750,HUAQUILLAS
070750,HUAQUILLAS
070750,HUAQUILLAS
070750,HUAQUILLAS
090150,GUAYAQUIL
070750,HUAQUILLAS
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
070750,HUAQUILLAS
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
170150,QUITO
090150,GUAYAQUIL
170150,QUITO
090150,GUAYAQUIL
092251,CORONEL LORENZO DE GARAYCOA
090150,GUAYAQUIL
092251,CORONEL LORENZO DE GARAYCOA
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
092251,CORONEL LORENZO DE GARAYCOA
090150,GUAYAQUIL
170150,QUITO
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
170150,QUITO
170150,QUITO
170150,QUITO
170150,QUITO
170150,QUITO
170150,QUITO
170150,QUITO
170150,QUITO
170150,QUITO
131650,SUCRE
131650,SUCRE
170150,QUITO
170150,QUITO
170150,QUITO
170150,QUITO
170150,QUITO
080159,MAJUA
170150,QUITO
170150,QUITO
170150,QUITO
080159,MAJUA
170150,QUITO
170150,QUITO
080159,MAJUA
080159,MAJUA
170150,QUITO
240151,ATAHUALPA
090150,GUAYAQUIL
131650,SUCRE
090150,GUAYAQUIL
170150,QUITO
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
170150,QUITO
170150,QUITO
090150,GUAYAQUIL
170150,QUITO
090150,GUAYAQUIL
170150,QUITO
090150,GUAYAQUIL
090150,GUAYAQUIL
131650,SUCRE
080159,MAJUA
131650,SUCRE
080159,MAJUA
080159,MAJUA
080159,MAJUA
080159,MAJUA
131650,SUCRE
080159,MAJUA
131650,SUCRE
080159,MAJUA
131650,SUCRE
131650,SUCRE
131650,SUCRE
131650,SUCRE
131650,SUCRE
090150,GUAYAQUIL
080159,MAJUA
131650,SUCRE
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
040550,SAN GABRIEL
090150,GUAYAQUIL
040550,SAN GABRIEL
090150,GUAYAQUIL
090150,GUAYAQUIL
040550,SAN GABRIEL
040255,SAN RAFAEL
090150,GUAYAQUIL
040550,SAN GABRIEL
040550,SAN GABRIEL
040550,SAN GABRIEL
040550,SAN GABRIEL
131650,SUCRE
090150,GUAYAQUIL
040255,SAN RAFAEL
070150,MACHALA
090150,GUAYAQUIL
070150,MACHALA
131650,SUCRE
090150,GUAYAQUIL
131650,SUCRE
090150,GUAYAQUIL
090150,GUAYAQUIL
070150,MACHALA
090150,GUAYAQUIL
090150,GUAYAQUIL
070150,MACHALA
070150,MACHALA
090150,GUAYAQUIL
090150,GUAYAQUIL
070150,MACHALA
090150,GUAYAQUIL
090150,GUAYAQUIL
070150,MACHALA
131650,SUCRE
090150,GUAYAQUIL
090150,GUAYAQUIL
092251,CORONEL LORENZO DE GARAYCOA
090150,GUAYAQUIL
180855,SAN ANDRÉS
131650,SUCRE
180855,SAN ANDRÉS
131650,SUCRE
090150,GUAYAQUIL
180855,SAN ANDRÉS
131650,SUCRE
090150,GUAYAQUIL
090150,GUAYAQUIL
180855,SAN ANDRÉS
131650,SUCRE
090150,GUAYAQUIL
131650,SUCRE
090150,GUAYAQUIL
090150,GUAYAQUIL
180855,SAN ANDRÉS
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
180855,SAN ANDRÉS
090150,GUAYAQUIL
170150,QUITO
170150,QUITO
170150,QUITO
180855,SAN ANDRÉS
090156,POSORJA
170150,QUITO
180855,SAN ANDRÉS
170150,QUITO
180855,SAN ANDRÉS
180855,SAN ANDRÉS
090150,GUAYAQUIL
170150,QUITO
170150,QUITO
131650,SUCRE
170150,QUITO
131650,SUCRE
170150,QUITO
131650,SUCRE
130850,MANTA
131650,SUCRE
090150,GUAYAQUIL
090150,GUAYAQUIL
090150,GUAYAQUIL
090156,POSORJA
090150,GUAYAQUIL
131650,SUCRE
090156,POSORJA
090150,GUAYAQUIL
180855,SAN ANDRÉS
090156,POSORJA
090150,GUAYAQUIL
180855,SAN ANDRÉS
090156,POSORJA
090150,GUAYAQUIL
131650,SUCRE
180855,SAN ANDRÉS
090156,POSORJA
090150,GUAYAQUIL
131650,SUCRE
180855,SAN ANDRÉS
130850,MANTA
131650,SUCRE
090156,POSORJA
131650,SUCRE
090156,POSORJA
180855,SAN ANDRÉS
180855,SAN ANDRÉS
090150,GUAYAQUIL
180855,SAN ANDRÉS
180855,SAN ANDRÉS
180855,SAN ANDRÉS
180855,SAN ANDRÉS
130850,MANTA
070955,UZHCURRUMI
130850,MANTA
070955,UZHCURRUMI
070955,UZHCURRUMI
130850,MANTA
130850,MANTA
130850,MANTA
130850,MANTA
130850,MANTA
130850,MANTA
130850,MANTA
180855,SAN ANDRÉS
180855,SAN ANDRÉS
090150,GUAYAQUIL
180855,SAN ANDRÉS
180855,SAN ANDRÉS
090150,GUAYAQUIL
180855,SAN ANDRÉS
090150,GUAYAQUIL
180855,SAN ANDRÉS
180855,SAN ANDRÉS
180855,SAN ANDRÉS
180855,SAN ANDRÉS
180855,SAN ANDRÉS
190752,TRIUNFO DORADO
170250,CAYAMBE
170250,CAYAMBE
170250,CAYAMBE
130850,MANTA
190752,TRIUNFO DORADO
170250,CAYAMBE
190752,TRIUNFO DORADO
190752,TRIUNFO DORADO
170250,CAYAMBE
180855,SAN ANDRÉS
170250,CAYAMBE
180855,SAN ANDRÉS
170250,CAYAMBE
180855,SAN ANDRÉS
180150,AMBATO
170250,CAYAMBE
180855,SAN ANDRÉS
180150,AMBATO
180855,SAN ANDRÉS
180150,AMBATO
180855,SAN ANDRÉS
180150,AMBATO
180855,SAN ANDRÉS
180855,SAN ANDRÉS
180150,AMBATO
120651,RICAURTE
130850,MANTA
132250,SAN VICENTE
130850,MANTA
130850,MANTA
130850,MANTA
180855,SAN ANDRÉS
130850,MANTA
180855,SAN ANDRÉS
130850,MANTA
180150,AMBATO
130850,MANTA
180150,AMBATO
180150,AMBATO
130850,MANTA
180150,AMBATO
180150,AMBATO
180150,AMBATO
180150,AMBATO
180150,AMBATO
210150,NUEVA LOJA
210150,NUEVA LOJA
180150,AMBATO
130850,MANTA
180150,AMBATO
210150,NUEVA LOJA
180855,SAN ANDRÉS
132250,SAN VICENTE
180150,AMBATO
132250,SAN VICENTE
180150,AMBATO
132250,SAN VICENTE
210150,NUEVA LOJA
132250,SAN VICENTE
210150,NUEVA LOJA
180150,AMBATO
120155,LA UNIÓN
132250,SAN VICENTE
210150,NUEVA LOJA
210150,NUEVA LOJA
180855,SAN ANDRÉS
120155,LA UNIÓN
132250,SAN VICENTE
180855,SAN ANDRÉS
120155,LA UNIÓN
132250,SAN VICENTE
180855,SAN ANDRÉS
180855,SAN ANDRÉS
180855,SAN ANDRÉS
180855,SAN ANDRÉS
